Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
197|Olivier Giroud|fr FRA|FW|Arsenal|29|1986|13.4|2|0|0|21|12|12|3|7|9|1|0|0|Matches
198|Shay Given|ie IRL|GK|Stoke City|40|1976|5.0|1|0|0|0|1|0|0|0|0|0|0|1|Matches
199|Evandro Goebel|br BRA|MF|Hull City|29|1986|6.4|1|0|0|14|20|0|18|3|14|0|0|0|Matches
200|Angel Gomes|eng ENG|"FW,MF"|Manchester Utd|15|2000|0.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
201|Heurelho Gomes|br BRA|GK|Watford|35|1981|37.1|1|0|0|0|4|0|0|3|0|0|1|1|Matches
202|Lynden Gooch|us USA|"DF,FW"|Sunderland|20|1995|4.1|3|0|0|8|6|0|13|6|11|0|0|0|Matches
203|Dan Gosling|eng ENG|"DF,MF"|Bournemouth|26|1990|15.2|6|0|0|26|31|1|7|26|40|0|0|0|Matches
204|Lewis Grabban|eng ENG|"FW,MF"|Bournemouth|28|1988|0.7|0|0|0|1|0|0|1|0|1|0|0|0|Matches
205|Max Gradel|ci CIV|"FW,MF"|Bournemouth|28|1987|1.5|3|0|0|4|1|2|8|3|4|0|0|0|Matches
206|Lee Grant|eng ENG|GK|Stoke City|33|1983|28.0|1|0|0|0|2|0|0|1|1|0|0|0|Matches
207|Andre Gray|jm JAM|FW|Burnley|25|1991|25.1|2|0|0|17|17|36|28|5|4|0|0|0|Matches
208|Demarai Gray|jm JAM|"FW,MF"|Leicester City|20|1996|11.7|2|0|0|12|14|2|82|11|14|1|0|0|Matches
209|Kamil Grosicki|pl POL|"FW,MF"|Hull City|28|1988|12.7|1|0|0|12|6|6|108|13|4|0|0|0|Matches
210|Marko Grujić|rs SRB|MF|Liverpool|20|1996|0.5|1|0|0|2|2|0|0|0|0|0|0|0|Matches
211|Adlène Guedioura|dz ALG|MF|Watford|30|1985|8.0|2|0|0|21|8|1|27|10|17|0|0|0|Matches
212|Adlène Guedioura|dz ALG|MF|Middlesbrough|30|1985|1.6|0|0|0|2|1|0|6|3|5|0|0|0|Matches
213|İlkay Gündoğan|de GER|MF|Manchester City|25|1990|7.8|0|0|0|2|10|0|7|9|9|0|0|0|Matches
214|Brad Guzan|us USA|GK|Middlesbrough|31|1984|10.0|0|0|0|0|1|0|0|1|1|0|1|0|Matches
215|Josh Harrop|eng ENG|MF|Manchester Utd|20|1995|1.0|0|0|0|4|1|0|4|0|3|0|0|0|Matches
216|Eden Hazard|be BEL|"FW,MF"|Chelsea|25|1991|33.1|3|0|0|19|101|8|87|28|14|1|0|0|Matches
217|Tom Heaton|eng ENG|GK|Burnley|30|1986|35.0|1|0|0|0|1|0|0|2|2|0|0|0|Matches
218|Jordan Henderson|eng ENG|MF|Liverpool|26|1990|23.5|8|0|0|28|17|0|65|47|64|0|0|0|Matches
219|Jeff Hendrick|ie IRL|"FW,MF"|Burnley|24|1992|29.9|6|1|0|42|37|4|17|44|15|0|0|0|Matches
220|Wayne Hennessey|wls WAL|GK|Crystal Palace|29|1987|29.0|1|0|0|0|3|0|0|1|2|0|0|0|Matches
221|Markus Henriksen|no NOR|"DF,MF"|Hull City|24|1992|7.1|1|0|0|15|12|1|12|5|9|0|1|0|Matches
222|Abel Hernández|uy URU|FW|Hull City|25|1990|15.8|0|0|0|18|11|11|1|4|6|0|0|0|Matches
223|Luis Hernández|es ESP|DF|Leicester City|27|1989|3.6|1|0|0|5|1|0|10|9|5|0|0|0|Matches
224|Ander Herrera|es ESP|MF|Manchester Utd|26|1989|27.4|7|1|1|48|45|0|50|86|63|0|0|0|Matches
225|Son Heung-min|kr KOR|"FW,MF"|Tottenham|24|1992|22.9|2|0|0|10|33|22|62|7|13|2|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
226|Rob Holding|eng ENG|DF|Arsenal|20|1995|9.0|3|0|0|10|2|0|2|11|9|0|1|0|Matches
227|José Holebas|gr GRE|"DF,MF"|Watford|32|1984|32.3|14|0|0|43|24|1|166|58|47|0|0|0|Matches
228|Mason Holgate|eng ENG|DF|Everton|19|1996|15.2|2|0|0|13|16|0|52|22|33|0|0|0|Matches
229|George Honeyman|eng ENG|"FW,MF"|Sunderland|21|1994|2.6|1|0|0|4|8|2|9|4|8|0|0|0|Matches
230|Tom Huddlestone|eng ENG|MF|Hull City|29|1986|22.5|5|1|0|33|16|1|14|48|25|0|2|1|Matches
231|James Husband|eng ENG|DF|Middlesbrough|22|1994|0.6|0|0|0|0|0|0|0|0|0|0|0|0|Matches
232|Robert Huth|de GER|DF|Leicester City|31|1984|32.5|9|0|0|45|18|0|0|44|24|0|1|2|Matches
233|Pierre Højbjerg|dk DEN|MF|Southampton|20|1995|14.5|2|0|0|17|30|0|21|31|31|0|0|0|Matches
234|Jordon Ibe|eng ENG|"FW,MF"|Bournemouth|20|1995|11.7|0|0|0|7|13|1|43|10|11|0|0|0|Matches
235|Didier Ibrahim Ndong|ga GAB|"DF,MF"|Sunderland|22|1994|28.0|5|0|0|39|28|4|39|50|64|1|1|0|Matches
236|Zlatan Ibrahimović|se SWE|FW|Manchester Utd|34|1981|27.1|7|0|0|54|20|37|18|12|6|0|0|0|Matches
237|Odion Ighalo|ng NGA|FW|Watford|27|1989|14.3|1|0|0|18|15|9|6|4|8|0|0|0|Matches
238|Kelechi Iheanacho|ng NGA|"FW,MF"|Manchester City|19|1996|6.0|0|0|0|7|2|6|4|0|5|0|0|0|Matches
239|Giannelli Imbula|cd COD|MF|Stoke City|23|1992|8.8|1|0|0|3|12|0|8|4|10|0|0|1|Matches
240|Branislav Ivanović|rs SRB|DF|Chelsea|32|1984|6.5|2|0|0|8|8|2|23|11|11|0|0|0|Matches
241|Alex Iwobi|ng NGA|"FW,MF"|Arsenal|20|1996|16.2|1|0|0|7|13|3|19|8|15|0|0|0|Matches
242|Phil Jagielka|eng ENG|"DF,MF"|Everton|33|1982|25.0|6|2|1|14|28|0|1|41|34|0|3|0|Matches
243|Eldin Jakupović|ch SUI|GK|Hull City|31|1984|22.0|0|0|0|0|2|0|0|1|0|0|0|0|Matches
244|Matty James|eng ENG|MF|Leicester City|25|1991|0.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
245|Daryl Janmaat|nl NED|DF|Watford|27|1989|18.0|2|0|0|16|4|5|54|23|30|0|0|0|Matches
246|Vincent Janssen|nl NED|FW|Tottenham|22|1994|9.4|0|0|0|31|25|8|10|4|14|1|1|0|Matches
247|Adnan Januzaj|be BEL|"FW,MF"|Sunderland|21|1995|18.1|5|1|1|26|38|3|66|9|15|0|0|0|Matches
248|Mile Jedinak|au AUS|MF|Crystal Palace|31|1984|1.0|0|0|0|4|2|0|1|1|2|0|0|0|Matches
249|Carl Jenkinson|eng ENG|DF|Arsenal|24|1992|0.9|0|0|0|1|1|0|3|2|3|0|0|0|Matches
250|Gabriel Jesus|br BRA|"FW,MF"|Manchester City|19|1997|7.2|2|0|0|11|17|9|2|3|7|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
251|Glen Johnson|eng ENG|DF|Stoke City|31|1984|21.7|1|0|0|12|19|0|34|42|37|0|0|0|Matches
252|Billy Jones|eng ENG|DF|Sunderland|29|1987|25.2|8|0|0|25|12|0|44|50|43|0|0|0|Matches
253|David Jones|eng ENG|MF|Burnley|31|1984|1.0|1|0|0|1|0|0|11|1|0|0|0|0|Matches
254|Phil Jones|eng ENG|"DF,MF"|Manchester Utd|24|1992|17.6|2|0|0|9|11|0|1|27|25|0|1|0|Matches
255|Lukas Jutkiewicz|eng ENG|FW|Burnley|27|1989|0.1|0|0|0|1|1|0|0|0|0|0|0|0|Matches
256|Christian Kabasele|be BEL|DF|Watford|25|1991|8.6|1|0|0|15|4|0|10|16|13|0|0|0|Matches
257|Younès Kaboul|fr FRA|DF|Watford|30|1986|20.2|2|0|0|20|7|0|11|47|20|0|0|0|Matches
258|Younès Kaboul|fr FRA|DF|Sunderland|30|1986|1.0|0|0|0|0|1|0|1|1|0|0|0|0|Matches
259|Sullay Kaikai|sl SLE|"FW,MF"|Crystal Palace|20|1995|0.3|0|0|0|0|0|0|2|0|0|0|0|0|Matches
260|Harry Kane|eng ENG|FW|Tottenham|23|1993|28.0|3|0|0|23|45|17|29|7|15|1|0|0|Matches
261|N'Golo Kanté|fr FRA|MF|Chelsea|25|1991|34.9|9|0|0|54|16|0|12|83|84|0|0|0|Matches
262|Loris Karius|de GER|GK|Liverpool|23|1993|10.0|0|0|0|0|1|0|0|1|0|0|0|0|Matches
263|Michael Keane|eng ENG|DF|Burnley|23|1993|35.0|4|0|0|16|11|1|7|66|28|0|1|0|Matches
264|Will Keane|ie IRL|"FW,MF"|Hull City|23|1993|3.1|0|0|0|4|2|2|3|1|0|0|0|0|Matches
265|Martin Kelly|eng ENG|"DF,MF"|Crystal Palace|26|1990|23.6|4|0|0|18|9|0|36|26|34|0|0|0|Matches
266|Kenedy|br BRA|"FW,MF"|Watford|20|1996|0.2|0|0|0|1|1|0|1|0|0|0|0|0|Matches
267|Kenedy|br BRA|"FW,MF"|Chelsea|20|1996|0.8|0|0|0|1|1|0|1|2|0|0|0|0|Matches
268|Jonjoe Kenny|eng ENG|"DF,FW"|Everton|19|1997|0.1|0|0|0|1|0|0|4|0|0|0|0|0|Matches
269|Wahbi Khazri|tn TUN|"FW,MF"|Sunderland|25|1991|9.4|6|0|0|20|16|7|71|9|10|0|0|0|Matches
270|Michael Kightly|eng ENG|"FW,MF"|Burnley|30|1986|1.2|0|0|0|3|2|0|14|0|4|0|0|0|Matches
271|Andy King|wls WAL|MF|Leicester City|27|1988|16.1|4|0|0|18|17|1|14|26|29|0|0|0|Matches
272|Joshua King|no NOR|"FW,MF"|Bournemouth|24|1992|30.1|1|0|0|58|43|6|42|22|41|0|0|0|Matches
273|Stephen Kingsley|sct SCO|DF|Swansea City|22|1994|11.5|0|0|0|3|7|0|46|9|10|0|0|0|Matches
274|Jan Kirchhoff|de GER|"DF,MF"|Sunderland|25|1990|4.8|1|0|0|8|1|0|1|11|10|0|0|0|Matches
275|Ragnar Klavan|ee EST|DF|Liverpool|30|1985|15.7|3|0|0|15|8|0|3|14|17|0|1|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
276|Aleksandar Kolarov|rs SRB|DF|Manchester City|30|1985|28.2|6|0|0|34|39|0|27|47|35|0|0|1|Matches
277|Vincent Kompany|be BEL|DF|Manchester City|30|1986|9.1|5|0|0|19|6|0|1|19|11|0|0|0|Matches
278|Arouna Koné|ci CIV|FW|Everton|32|1983|0.8|0|0|0|0|0|0|0|0|0|0|0|0|Matches
279|Lamine Koné|ci CIV|DF|Sunderland|27|1989|28.3|4|0|0|15|10|2|3|51|28|0|0|0|Matches
280|Laurent Koscielny|fr FRA|DF|Arsenal|30|1985|31.4|4|1|0|19|26|2|3|90|42|1|1|0|Matches
281|Cheikhou Kouyaté|sn SEN|"DF,MF"|West Ham|26|1989|30.3|3|0|0|45|39|2|15|78|53|0|1|0|Matches
282|Bojan Krkić|es ESP|"FW,MF"|Stoke City|25|1990|5.3|1|0|0|4|10|0|25|3|5|1|0|0|Matches
283|Adam Lallana|eng ENG|"FW,MF"|Liverpool|28|1988|26.0|3|0|0|17|30|12|48|20|35|0|0|0|Matches
284|Rickie Lambert|eng ENG|FW|West Brom|34|1982|0.1|0|0|0|1|0|0|0|1|0|0|0|0|Matches
285|Érik Lamela|ar ARG|"FW,MF"|Tottenham|24|1992|6.6|1|0|0|13|11|1|26|4|12|0|1|0|Matches
286|Manuel Lanzini|ar ARG|"FW,MF"|West Ham|23|1993|30.1|9|0|0|20|38|7|73|51|34|0|0|0|Matches
287|Sebastian Larsson|se SWE|MF|Sunderland|31|1985|16.3|4|1|0|30|8|0|72|17|31|0|1|0|Matches
288|Grant Leadbitter|eng ENG|MF|Middlesbrough|30|1986|7.9|1|0|0|8|7|0|20|9|12|0|0|0|Matches
289|Joe Ledley|wls WAL|MF|Crystal Palace|29|1987|12.9|1|0|0|9|10|0|7|28|16|0|0|0|Matches
290|Lucas Leiva|br BRA|MF|Liverpool|29|1987|12.4|4|0|0|18|12|0|5|36|26|0|0|0|Matches
291|Jonathan Leko|eng ENG|"FW,MF"|West Brom|17|1999|2.0|0|0|0|0|5|0|11|2|0|0|0|0|Matches
292|Aaron Lennon|eng ENG|"FW,MF"|Everton|29|1987|5.7|0|0|0|2|3|0|11|5|12|0|0|0|Matches
293|Jeremain Lens|nl NED|"FW,MF"|Sunderland|28|1987|0.8|0|0|0|1|3|0|2|2|2|0|0|0|Matches
294|Joleon Lescott|eng ENG|DF|Sunderland|33|1982|1.4|0|0|0|2|1|0|0|4|0|0|0|0|Matches
295|Filip Lesniak|sk SVK|MF|Tottenham|20|1996|0.1|0|0|0|0|0|0|0|0|1|0|0|0|Matches
296|Jesse Lingard|eng ENG|"FW,MF"|Manchester Utd|23|1992|15.1|3|0|0|26|19|5|26|15|16|0|0|0|Matches
297|Jake Livermore|eng ENG|MF|West Brom|26|1989|14.5|2|0|0|17|8|0|3|19|21|0|0|0|Matches
298|Jake Livermore|eng ENG|MF|Hull City|26|1989|18.6|3|1|0|17|13|1|5|30|35|0|1|0|Matches
299|Fernando Llorente|es ESP|FW|Swansea City|31|1985|27.1|2|0|0|51|31|12|8|2|17|0|0|0|Matches
300|Hugo Lloris|fr FRA|GK|Tottenham|29|1986|33.4|0|0|0|0|4|0|0|2|0|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
301|Ruben Loftus-Cheek|eng ENG|MF|Chelsea|20|1996|0.4|0|0|0|2|0|0|0|0|0|0|0|0|Matches
302|Kevin Long|ie IRL|DF|Burnley|25|1990|3.0|0|0|0|1|3|0|0|3|4|0|0|0|Matches
303|Shane Long|ie IRL|FW|Southampton|29|1987|14.0|2|0|0|27|37|13|25|5|11|2|0|0|Matches
304|Ademola Lookman|ng NGA|"FW,MF"|Everton|18|1997|3.2|0|0|0|4|7|2|1|2|4|0|0|0|Matches
305|Donald Love|sct SCO|"DF,MF"|Sunderland|21|1994|6.8|1|0|0|8|4|0|20|15|14|0|0|0|Matches
306|Dejan Lovren|hr CRO|DF|Liverpool|27|1989|28.4|6|0|0|25|20|1|7|47|32|0|0|0|Matches
307|Matthew Lowton|eng ENG|DF|Burnley|27|1989|36.0|9|0|0|34|23|0|116|70|71|0|1|0|Matches
308|David Luiz|br BRA|"DF,MF"|Chelsea|29|1987|32.8|6|0|0|29|30|3|7|69|27|0|0|0|Matches
309|Romelu Lukaku|be BEL|FW|Everton|23|1993|36.3|3|0|0|32|34|36|46|0|9|0|0|0|Matches
310|Harry Maguire|eng ENG|DF|Hull City|23|1993|25.6|5|0|0|24|34|3|15|67|39|0|1|0|Matches
311|Riyad Mahrez|dz ALG|"FW,MF"|Leicester City|25|1991|31.4|4|0|0|23|66|8|153|28|24|1|0|0|Matches
312|Ainsley Maitland-Niles|eng ENG|"DF,FW"|Arsenal|18|1997|0.0|0|0|0|0|0|0|0|0|1|0|0|0|Matches
313|Shaun Maloney|sct SCO|"FW,MF"|Hull City|33|1983|3.1|0|0|0|3|7|0|12|1|6|0|0|0|Matches
314|Steve Mandanda|fr FRA|GK|Crystal Palace|31|1985|9.0|0|0|0|0|1|0|0|0|0|0|0|0|Matches
315|Sadio Mané|sn SEN|"FW,MF"|Liverpool|24|1992|24.8|4|0|0|32|55|13|41|11|18|1|1|0|Matches
316|Vito Mannone|it ITA|GK|Sunderland|28|1988|9.0|0|0|0|0|0|0|0|1|0|0|0|0|Matches
317|Javier Manquillo|es ESP|DF|Sunderland|22|1994|15.9|2|0|0|14|13|5|36|25|22|0|0|0|Matches
318|Adrian Mariappa|jm JAM|DF|Watford|29|1986|6.2|0|0|0|4|4|2|1|14|16|0|0|0|Matches
319|Lazar Marković|rs SRB|"FW,MF"|Hull City|22|1994|11.2|4|0|0|17|19|2|18|14|12|0|0|0|Matches
320|Dean Marney|eng ENG|MF|Burnley|32|1984|19.6|7|0|0|34|20|0|7|28|28|0|0|0|Matches
321|David Marshall|sct SCO|GK|Hull City|31|1985|16.0|0|0|0|0|1|0|0|0|0|0|0|1|Matches
322|Anthony Martial|fr FRA|"FW,MF"|Manchester Utd|20|1995|17.3|2|0|0|26|28|6|57|9|16|0|0|0|Matches
323|Cuco Martina|cw CUW|"DF,MF"|Southampton|26|1989|6.6|0|0|0|4|5|1|37|14|9|0|0|0|Matches
324|Emiliano Martínez|ar ARG|GK|Arsenal|23|1992|2.0|0|0|0|0|0|0|0|0|0|0|1|0|Matches
325|Bruno Martins Indi|nl NED|DF|Stoke City|24|1992|35.0|4|0|0|25|10|2|4|66|42|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
326|Brandon Mason|eng ENG|"DF,MF"|Watford|18|1997|1.3|0|0|0|3|2|0|0|3|1|0|0|0|Matches
327|Ryan Mason|eng ENG|MF|Hull City|25|1991|10.3|4|0|0|10|16|0|25|14|10|0|0|0|Matches
328|Arthur Masuaku|cd COD|"DF,MF"|West Ham|22|1993|10.8|1|0|0|16|10|0|30|26|32|0|1|0|Matches
329|Juan Mata|es ESP|"FW,MF"|Manchester Utd|28|1988|17.9|3|0|0|9|16|9|93|13|18|0|0|1|Matches
330|Nemanja Matić|rs SRB|MF|Chelsea|27|1988|29.9|4|0|0|33|26|2|8|55|40|0|0|0|Matches
331|Joël Matip|cm CMR|"DF,MF"|Liverpool|24|1991|27.3|3|0|0|14|11|0|5|49|37|0|1|0|Matches
332|Alfie Mawson|eng ENG|DF|Swansea City|22|1994|27.0|1|0|0|10|19|0|1|29|24|0|1|2|Matches
333|Dieumerci Mbokani|cd COD|FW|Hull City|30|1985|8.5|0|0|0|14|23|12|3|1|3|1|0|0|Matches
334|James McArthur|sct SCO|MF|Crystal Palace|28|1987|22.2|5|0|0|41|27|4|27|26|45|0|0|0|Matches
335|Gareth McAuley|nir NIR|DF|West Brom|36|1979|34.9|5|0|0|26|12|0|6|74|37|0|1|1|Matches
336|Oliver McBurnie|sct SCO|FW|Swansea City|20|1996|0.9|0|0|0|1|0|0|1|0|1|0|0|0|Matches
337|James McCarthy|ie IRL|MF|Everton|25|1990|6.8|2|0|0|10|9|0|4|11|12|0|0|0|Matches
338|James McClean|ie IRL|"DF,FW"|West Brom|27|1989|16.4|9|0|0|30|17|7|97|19|41|0|0|0|Matches
339|Paddy McNair|nir NIR|"DF,MF"|Sunderland|21|1995|3.9|0|0|0|6|3|0|7|5|6|0|0|1|Matches
340|Sam McQueen|eng ENG|MF|Southampton|21|1995|6.8|0|0|0|3|3|0|37|15|11|1|0|0|Matches
341|Scott McTominay|sct SCO|MF|Manchester Utd|19|1996|1.1|1|0|0|2|2|0|1|2|1|0|0|0|Matches
342|Ben Mee|eng ENG|DF|Burnley|26|1989|33.5|5|0|0|23|28|1|6|74|31|1|2|2|Matches
343|Memphis|nl NED|"FW,MF"|Manchester Utd|22|1994|0.3|1|0|0|1|0|1|4|0|1|0|0|0|Matches
344|Nampalys Mendy|sn SEN|MF|Leicester City|24|1992|3.0|1|0|0|4|8|0|1|6|1|0|0|0|Matches
345|Per Mertesacker|de GER|DF|Arsenal|31|1984|0.4|0|0|0|0|1|0|0|1|1|0|0|0|Matches
346|David Meyler|ie IRL|MF|Hull City|27|1989|10.7|2|0|0|9|17|1|15|20|20|0|0|0|Matches
347|Simon Mignolet|be BEL|GK|Liverpool|28|1988|28.0|0|0|0|0|5|0|0|1|1|0|0|0|Matches
348|Luka Milivojević|rs SRB|MF|Crystal Palace|25|1991|13.6|4|0|0|27|16|0|6|41|18|0|0|0|Matches
349|James Milner|eng ENG|"DF,MF"|Liverpool|30|1986|35.0|5|0|0|38|24|2|260|44|64|0|1|0|Matches
350|Tyrone Mings|eng ENG|DF|Bournemouth|23|1993|5.6|0|0|0|7|5|0|1|6|10|0|0|2|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
351|Kevin Mirallas|be BEL|"FW,MF"|Everton|28|1987|23.0|2|0|0|26|25|4|137|8|14|0|0|0|Matches
352|Demetri Mitchell|eng ENG|"DF,MF"|Manchester Utd|19|1997|1.0|0|0|0|2|2|0|2|3|4|0|0|0|Matches
353|Henrikh Mkhitaryan|am ARM|"FW,MF"|Manchester Utd|27|1989|15.0|1|0|0|19|26|8|48|22|18|0|0|0|Matches
354|Nacho Monreal|es ESP|DF|Arsenal|30|1986|35.0|5|0|0|33|36|8|63|89|64|0|1|0|Matches
355|Jefferson Montero|ec ECU|"FW,MF"|Swansea City|26|1989|5.4|0|0|0|1|9|2|38|1|5|0|0|0|Matches
356|Alberto Moreno|es ESP|"DF,MF"|Liverpool|24|1992|3.4|1|0|0|2|6|0|13|2|6|0|1|0|Matches
357|Wes Morgan|jm JAM|DF|Leicester City|32|1984|27.0|3|0|0|20|9|1|1|56|15|1|1|0|Matches
358|James Morrison|sct SCO|"FW,MF"|West Brom|30|1986|19.3|3|0|0|18|16|3|22|22|19|0|0|0|Matches
359|Victor Moses|ng NGA|"DF,FW"|Chelsea|25|1990|27.6|4|0|0|28|32|3|119|41|42|0|0|0|Matches
360|Lys Mousset|fr FRA|"FW,MF"|Bournemouth|20|1996|3.0|0|0|0|6|5|1|3|0|1|0|0|1|Matches
361|Marc Muniesa|es ESP|"DF,MF"|Stoke City|24|1992|7.2|2|0|0|9|7|0|7|21|12|0|0|0|Matches
362|Ahmed Musa|ng NGA|"FW,MF"|Leicester City|23|1992|8.5|1|0|0|13|13|1|26|11|12|0|0|0|Matches
363|Shkodran Mustafi|de GER|DF|Arsenal|24|1992|25.3|11|0|0|36|16|1|20|61|43|0|0|0|Matches
364|Jordon Mutch|eng ENG|MF|Crystal Palace|24|1991|0.6|0|0|0|1|1|0|3|0|2|0|0|0|Matches
365|Alfred N'Diaye|sn SEN|"DF,MF"|Hull City|26|1990|14.1|7|0|0|36|9|2|7|20|35|0|1|0|Matches
366|Georges-Kévin N'Koudou|cm CMR|"FW,MF"|Tottenham|21|1995|0.6|0|0|0|1|3|0|7|0|1|0|0|0|Matches
367|Luciano Narsingh|nl NED|"FW,MF"|Swansea City|25|1990|4.6|0|0|0|3|9|1|26|3|0|0|0|0|Matches
368|Samir Nasri|fr FRA|"FW,MF"|Manchester City|29|1987|0.2|0|0|0|0|0|0|0|0|0|0|0|0|Matches
369|Kyle Naughton|eng ENG|DF|Swansea City|27|1988|30.2|5|0|0|25|22|0|77|39|57|0|1|1|Matches
370|Jesús Navas|es ESP|"DF,FW"|Manchester City|30|1985|11.8|2|0|0|7|11|3|92|21|18|0|0|0|Matches
371|Wilfred Ndidi|ng NGA|"DF,MF"|Leicester City|19|1996|16.9|0|0|0|26|10|1|3|38|39|0|0|0|Matches
372|Álvaro Negredo|es ESP|FW|Middlesbrough|30|1985|31.9|5|0|0|46|31|17|11|11|17|1|0|0|Matches
373|Julien Ngoy|be BEL|"FW,MF"|Stoke City|18|1997|0.5|0|0|0|0|1|0|3|0|1|0|0|0|Matches
374|M'Baye Niang|sn SEN|"FW,MF"|Watford|21|1994|13.8|2|0|0|24|31|5|37|10|6|0|0|0|Matches
375|Oumar Niasse|sn SEN|"FW,MF"|Hull City|26|1990|12.2|3|1|0|16|18|10|14|2|10|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
376|Mark Noble|eng ENG|MF|West Ham|29|1987|26.5|10|0|0|27|43|1|24|42|32|0|0|0|Matches
377|Nolito|es ESP|"FW,MF"|Manchester City|29|1986|8.6|3|1|0|17|9|4|16|6|11|0|0|0|Matches
378|Kristoffer Nordfeldt|se SWE|GK|Swansea City|27|1989|1.0|0|0|0|0|1|0|0|0|0|0|0|0|Matches
379|Håvard Nordtveit|no NOR|"DF,MF"|West Ham|26|1990|10.6|2|0|0|11|8|0|8|24|16|0|1|0|Matches
380|Emilio Nsue|gq EQG|"DF,FW"|Middlesbrough|26|1989|3.6|0|0|0|4|4|0|5|6|2|0|0|0|Matches
381|David Nugent|eng ENG|FW|Middlesbrough|31|1985|0.5|0|0|0|2|0|0|2|0|1|0|0|0|Matches
382|Allan Nyom|cm CMR|"DF,MF"|West Brom|28|1988|29.3|8|0|0|50|19|2|78|61|55|0|1|0|Matches
383|Aiden O'Neill|au AUS|MF|Burnley|18|1998|0.9|0|0|0|1|0|0|1|1|1|0|0|0|Matches
384|John O'Shea|ie IRL|"DF,MF"|Sunderland|35|1981|24.0|5|0|0|17|9|0|0|41|20|0|0|0|Matches
385|Pedro Obiang|gq EQG|MF|West Ham|24|1992|19.6|7|0|0|27|39|0|8|33|57|0|0|0|Matches
386|Angelo Ogbonna|it ITA|DF|West Ham|28|1988|19.5|2|0|0|13|5|0|4|39|24|0|1|0|Matches
387|Stefano Okaka|it ITA|FW|Watford|26|1989|10.6|5|0|0|29|22|11|5|1|10|0|0|0|Matches
388|Shinji Okazaki|jp JPN|"FW,MF"|Leicester City|30|1986|17.4|1|0|0|27|44|4|4|14|26|1|0|0|Matches
389|Jonas Olsson|se SWE|DF|West Brom|33|1983|6.6|3|0|0|12|6|2|0|11|2|0|0|0|Matches
390|Martin Olsson|se SWE|"DF,MF"|Swansea City|28|1988|13.9|2|0|0|12|24|0|57|11|7|0|0|0|Matches
391|Josh Onomah|eng ENG|"FW,MF"|Tottenham|19|1997|0.2|0|0|0|0|1|1|1|0|2|0|0|0|Matches
392|Divock Origi|be BEL|"FW,MF"|Liverpool|21|1995|16.3|0|0|0|22|32|13|31|2|11|0|0|0|Matches
393|Oscar|br BRA|"FW,MF"|Chelsea|24|1991|5.1|1|0|0|5|5|0|15|5|16|0|0|0|Matches
394|David Ospina|co COL|GK|Arsenal|27|1988|1.6|0|0|0|0|1|0|0|0|0|0|0|0|Matches
395|Nicolás Otamendi|ar ARG|DF|Manchester City|28|1988|28.8|9|0|0|30|26|2|4|83|50|1|0|0|Matches
396|Bryan Oviedo|cr CRC|"DF,MF"|Sunderland|26|1990|9.4|1|0|0|12|10|0|27|18|27|0|0|0|Matches
397|Bryan Oviedo|cr CRC|"DF,MF"|Everton|26|1990|5.3|3|0|0|8|2|1|6|6|14|0|0|0|Matches
398|Alex Oxlade-Chamberlain|eng ENG|"FW,MF"|Arsenal|22|1993|17.4|1|0|0|30|18|1|68|13|32|0|0|0|Matches
399|Mesut Özil|de GER|MF|Arsenal|27|1988|31.6|2|0|0|13|33|22|186|16|22|0|0|0|Matches
400|Costel Pantilimon|ro ROU|GK|Watford|29|1987|0.9|0|0|0|0|0|0|0|0|0|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
