Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
48|Michy Batshuayi|be BEL|FW|Chelsea|22|1993|2.8|0|0|0|9|4|4|2|2|2|0|0|0|Matches
49|Asmir Begović|ba BIH|GK|Chelsea|29|1987|2.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
50|Valon Behrami|ch SUI|"DF,MF"|Watford|31|1985|22.6|7|0|0|29|40|0|3|34|56|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
51|Héctor Bellerín|es ESP|"DF,MF"|Arsenal|21|1995|27.8|4|0|0|20|15|0|69|39|22|0|0|0|Matches
52|Yohan Benalouane|tn TUN|DF|Leicester City|29|1987|10.2|4|0|0|15|3|0|0|27|15|0|1|0|Matches
53|Christian Benteke|be BEL|FW|Crystal Palace|25|1990|34.8|10|0|0|81|51|37|1|7|6|3|0|0|Matches
54|Jonathan Benteke|be BEL|FW|Crystal Palace|21|1995|0.1|0|0|0|0|0|0|0|0|0|0|0|0|Matches
55|Saido Berahino|bi BDI|"FW,MF"|Stoke City|22|1993|8.0|0|0|0|11|1|6|1|1|6|0|0|0|Matches
56|Saido Berahino|bi BDI|"FW,MF"|West Brom|22|1993|2.7|1|0|0|9|5|2|0|0|2|0|0|0|Matches
57|Jóhann Berg Guðmundsson|is ISL|"FW,MF"|Burnley|25|1990|11.1|1|0|0|3|9|1|71|20|17|0|1|0|Matches
58|Ryan Bertrand|eng ENG|"DF,MF"|Southampton|26|1989|27.9|3|0|0|24|36|2|98|48|26|0|1|0|Matches
59|Mame Biram Diouf|sn SEN|"FW,MF"|Stoke City|28|1987|15.4|3|0|0|28|23|9|26|18|26|0|0|0|Matches
60|Daley Blind|nl NED|"DF,MF"|Manchester Utd|26|1990|20.3|2|0|0|14|15|0|87|44|34|0|0|0|Matches
61|Yannick Bolasie|cd COD|"FW,MF"|Crystal Palace|27|1989|0.3|1|0|0|1|0|0|2|0|0|0|0|0|Matches
62|Yannick Bolasie|cd COD|"FW,MF"|Everton|27|1989|11.4|2|0|0|22|15|3|82|3|13|0|0|0|Matches
63|Wilfried Bony|ci CIV|FW|Stoke City|27|1988|7.6|1|0|0|11|13|2|1|3|3|0|0|0|Matches
64|Fabio Borini|it ITA|"FW,MF"|Sunderland|25|1991|19.3|5|0|0|28|43|0|37|23|16|0|0|0|Matches
65|Artur Boruc|pl POL|GK|Bournemouth|36|1980|35.0|2|0|0|0|6|0|0|1|0|0|0|0|Matches
66|Sofiane Boufal|ma MAR|"FW,MF"|Southampton|22|1993|12.3|5|0|0|25|22|1|35|7|26|0|0|0|Matches
67|Jarrod Bowen|eng ENG|"FW,MF"|Hull City|19|1996|2.0|0|0|0|3|8|0|0|1|1|0|0|0|Matches
68|George Boyd|sct SCO|"FW,MF"|Burnley|30|1985|31.5|3|0|0|32|29|8|42|35|68|0|0|0|Matches
69|Robbie Brady|ie IRL|"DF,FW"|Burnley|24|1992|8.0|1|0|0|8|16|0|63|12|14|0|0|0|Matches
70|Claudio Bravo|cl CHI|GK|Manchester City|33|1983|21.9|0|0|0|0|3|0|0|0|0|0|0|0|Matches
71|Miguel Britos|uy URU|DF|Watford|31|1985|25.4|10|2|2|36|24|2|13|52|33|0|1|0|Matches
72|Leon Britton|eng ENG|MF|Swansea City|33|1982|12.9|3|0|0|6|9|0|0|24|15|0|0|0|Matches
73|Chris Brunt|nir NIR|"DF,MF"|West Brom|31|1984|27.5|5|0|0|17|10|2|174|33|27|0|0|0|Matches
74|Jack Butland|eng ENG|GK|Stoke City|23|1993|5.0|0|0|0|0|1|0|0|0|0|0|0|0|Matches
75|Sam Byram|eng ENG|"DF,MF"|West Ham|22|1993|13.9|7|1|1|20|13|2|27|44|20|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
76|Willy Caballero|ar ARG|GK|Manchester City|34|1981|16.1|0|0|0|0|2|0|0|0|1|0|0|0|Matches
77|Yohan Cabaye|fr FRA|MF|Crystal Palace|30|1986|23.6|7|0|0|31|21|2|109|72|39|0|0|0|Matches
78|Martín Cáceres|uy URU|DF|Southampton|29|1987|1.0|0|0|0|0|0|0|0|1|1|0|0|0|Matches
79|Gary Cahill|eng ENG|DF|Chelsea|30|1985|36.6|5|0|0|34|25|2|1|48|41|0|1|1|Matches
80|Jonathan Calleri|ar ARG|FW|West Ham|22|1993|6.0|0|0|0|10|8|9|16|4|5|0|0|0|Matches
81|Dominic Calvert-Lewin|eng ENG|"FW,MF"|Everton|19|1997|3.9|1|0|0|4|7|1|0|3|4|0|0|0|Matches
82|Geoff Cameron|us USA|"DF,MF"|Stoke City|31|1985|18.1|1|0|0|17|19|2|14|34|36|0|0|0|Matches
83|Fraizer Campbell|eng ENG|FW|Crystal Palace|28|1987|1.8|0|0|0|2|3|0|2|1|1|0|0|0|Matches
84|Emre Can|de GER|"DF,MF"|Liverpool|22|1994|26.3|6|0|0|70|30|2|23|32|54|0|0|0|Matches
85|Étienne Capoue|fr FRA|MF|Watford|28|1988|35.6|5|0|0|52|46|1|80|61|44|0|0|0|Matches
86|Baily Cargill|eng ENG|DF|Bournemouth|21|1995|0.1|0|0|0|0|0|0|0|0|1|0|0|0|Matches
87|Michael Carrick|eng ENG|MF|Manchester Utd|35|1981|17.8|2|0|0|5|19|0|5|44|18|0|0|0|Matches
88|Andy Carroll|eng ENG|FW|West Ham|27|1989|14.6|3|0|0|25|29|5|10|6|3|0|0|0|Matches
89|Tom Carroll|eng ENG|MF|Tottenham|24|1992|0.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
90|Tom Carroll|eng ENG|MF|Swansea City|24|1992|15.4|1|0|0|13|10|0|38|18|27|0|0|0|Matches
91|Joel Castro Pereira|pt POR|GK|Manchester Utd|20|1996|1.0|0|0|0|0|0|0|0|0|0|0|0|0|Matches
92|Craig Cathcart|nir NIR|DF|Watford|27|1989|12.9|3|0|0|13|2|0|6|16|18|0|0|0|Matches
93|Lee Cattermole|eng ENG|MF|Sunderland|28|1988|7.0|4|0|0|12|9|0|3|22|8|0|0|0|Matches
94|Santi Cazorla|es ESP|MF|Arsenal|31|1984|6.9|2|0|0|4|2|1|39|8|2|0|0|0|Matches
95|Petr Čech|cz CZE|GK|Arsenal|34|1982|34.4|2|0|0|0|2|0|0|1|0|0|2|1|Matches
96|Nacer Chadli|be BEL|"FW,MF"|West Brom|26|1989|23.7|2|0|0|17|16|3|58|22|20|0|0|0|Matches
97|Nathaniel Chalobah|eng ENG|"DF,MF"|Chelsea|21|1994|1.9|2|0|0|2|1|0|0|2|4|0|0|0|Matches
98|Calum Chambers|eng ENG|"DF,MF"|Arsenal|21|1995|1.0|0|0|0|0|2|0|0|1|1|0|0|0|Matches
99|Calum Chambers|eng ENG|"DF,MF"|Middlesbrough|21|1995|24.0|4|0|0|23|11|1|22|50|38|0|1|0|Matches
100|Ben Chilwell|eng ENG|"DF,MF"|Leicester City|19|1996|7.8|2|0|0|7|15|1|18|27|15|0|0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|CrdY|CrdR|2CrdY|Fls|Fld|Off|Crs|Int|TklW|PKwon|PKcon|OG|Matches
101|Lee Chung-yong|kr KOR|"FW,MF"|Crystal Palace|28|1988|5.2|0|0|0|5|11|0|14|4|14|0|0|0|Matches
102|Jordy Clasie|nl NED|MF|Southampton|25|1991|11.3|3|0|0|15|6|0|9|15|9|0|1|0|Matches
103|Adam Clayton|eng ENG|MF|Middlesbrough|27|1989|31.2|10|0|0|52|44|0|24|68|54|0|0|0|Matches
104|Tom Cleverley|eng ENG|MF|Watford|26|1989|16.0|3|0|0|16|10|0|59|19|20|0|0|0|Matches
105|Tom Cleverley|eng ENG|MF|Everton|26|1989|4.5|1|0|0|7|2|0|3|11|10|0|0|0|Matches
106|Gaël Clichy|fr FRA|DF|Manchester City|31|1985|23.6|2|0|0|12|8|1|26|53|34|0|2|0|Matches
107|Sam Clucas|eng ENG|MF|Hull City|25|1990|35.4|9|1|0|22|27|1|64|52|60|0|1|0|Matches
108|Nathaniel Clyne|eng ENG|DF|Liverpool|25|1991|36.9|0|0|0|15|20|1|95|46|66|0|0|0|Matches
