Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
323|Cuco Martina|cw CUW|"DF,MF"|Southampton|26|1989|6.6|0|2|0|0.0|0.30|0.00|0.00|||0|0|Matches
324|Emiliano Martínez|ar ARG|GK|Arsenal|23|1992|2.0|0|0|0||0.00|0.00||||0|0|Matches
325|Bruno Martins Indi|nl NED|DF|Stoke City|24|1992|35.0|1|18|7|38.9|0.51|0.20|0.06|0.14||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
326|Brandon Mason|eng ENG|"DF,MF"|Watford|18|1997|1.3|0|0|0||0.00|0.00||||0|0|Matches
327|Ryan Mason|eng ENG|MF|Hull City|25|1991|10.3|1|17|4|23.5|1.65|0.39|0.06|0.25||0|0|Matches
328|Arthur Masuaku|cd COD|"DF,MF"|West Ham|22|1993|10.8|0|4|1|25.0|0.37|0.09|0.00|0.00||0|0|Matches
329|Juan Mata|es ESP|"FW,MF"|Manchester Utd|28|1988|17.9|6|40|21|52.5|2.23|1.17|0.15|0.29||0|0|Matches
330|Nemanja Matić|rs SRB|MF|Chelsea|27|1988|29.9|1|20|7|35.0|0.67|0.23|0.05|0.14||0|0|Matches
331|Joël Matip|cm CMR|"DF,MF"|Liverpool|24|1991|27.3|1|25|4|16.0|0.92|0.15|0.04|0.25||0|0|Matches
332|Alfie Mawson|eng ENG|DF|Swansea City|22|1994|27.0|4|22|4|18.2|0.81|0.15|0.18|1.00||0|0|Matches
333|Dieumerci Mbokani|cd COD|FW|Hull City|30|1985|8.5|0|14|4|28.6|1.65|0.47|0.00|0.00||0|0|Matches
334|James McArthur|sct SCO|MF|Crystal Palace|28|1987|22.2|5|23|6|26.1|1.04|0.27|0.22|0.83||0|0|Matches
335|Gareth McAuley|nir NIR|DF|West Brom|36|1979|34.9|6|17|7|41.2|0.49|0.20|0.35|0.86||0|0|Matches
336|Oliver McBurnie|sct SCO|FW|Swansea City|20|1996|0.9|0|2|1|50.0|2.20|1.10|0.00|0.00||0|0|Matches
337|James McCarthy|ie IRL|MF|Everton|25|1990|6.8|1|6|3|50.0|0.88|0.44|0.17|0.33||0|0|Matches
338|James McClean|ie IRL|"DF,FW"|West Brom|27|1989|16.4|1|23|13|56.5|1.40|0.79|0.04|0.08||0|0|Matches
339|Paddy McNair|nir NIR|"DF,MF"|Sunderland|21|1995|3.9|0|1|0|0.0|0.25|0.00|0.00|||0|0|Matches
340|Sam McQueen|eng ENG|MF|Southampton|21|1995|6.8|0|1|0|0.0|0.15|0.00|0.00|||0|0|Matches
341|Scott McTominay|sct SCO|MF|Manchester Utd|19|1996|1.1|0|1|0|0.0|0.93|0.00|0.00|||0|0|Matches
342|Ben Mee|eng ENG|DF|Burnley|26|1989|33.5|1|16|6|37.5|0.48|0.18|0.06|0.17||0|0|Matches
343|Memphis|nl NED|"FW,MF"|Manchester Utd|22|1994|0.3|0|0|0||0.00|0.00||||0|0|Matches
344|Nampalys Mendy|sn SEN|MF|Leicester City|24|1992|3.0|0|0|0||0.00|0.00||||0|0|Matches
345|Per Mertesacker|de GER|DF|Arsenal|31|1984|0.4|0|0|0||0.00|0.00||||0|0|Matches
346|David Meyler|ie IRL|MF|Hull City|27|1989|10.7|1|8|3|37.5|0.75|0.28|0.13|0.33||0|0|Matches
347|Simon Mignolet|be BEL|GK|Liverpool|28|1988|28.0|0|0|0||0.00|0.00||||0|0|Matches
348|Luka Milivojević|rs SRB|MF|Crystal Palace|25|1991|13.6|2|14|4|28.6|1.03|0.29|0.00|0.00||2|2|Matches
349|James Milner|eng ENG|"DF,MF"|Liverpool|30|1986|35.0|7|36|17|47.2|1.03|0.49|0.00|0.00||7|8|Matches
350|Tyrone Mings|eng ENG|DF|Bournemouth|23|1993|5.6|0|1|1|100.0|0.18|0.18|0.00|0.00||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
351|Kevin Mirallas|be BEL|"FW,MF"|Everton|28|1987|23.0|4|60|23|38.3|2.60|1.00|0.07|0.17||0|0|Matches
352|Demetri Mitchell|eng ENG|"DF,MF"|Manchester Utd|19|1997|1.0|0|0|0||0.00|0.00||||0|0|Matches
353|Henrikh Mkhitaryan|am ARM|"FW,MF"|Manchester Utd|27|1989|15.0|4|32|16|50.0|2.14|1.07|0.13|0.25||0|0|Matches
354|Nacho Monreal|es ESP|DF|Arsenal|30|1986|35.0|0|12|2|16.7|0.34|0.06|0.00|0.00||0|0|Matches
355|Jefferson Montero|ec ECU|"FW,MF"|Swansea City|26|1989|5.4|0|4|1|25.0|0.74|0.18|0.00|0.00||0|0|Matches
356|Alberto Moreno|es ESP|"DF,MF"|Liverpool|24|1992|3.4|0|3|0|0.0|0.89|0.00|0.00|||0|0|Matches
357|Wes Morgan|jm JAM|DF|Leicester City|32|1984|27.0|1|14|3|21.4|0.52|0.11|0.07|0.33||0|0|Matches
358|James Morrison|sct SCO|"FW,MF"|West Brom|30|1986|19.3|5|22|8|36.4|1.14|0.41|0.23|0.63||0|0|Matches
359|Victor Moses|ng NGA|"DF,FW"|Chelsea|25|1990|27.6|3|45|15|33.3|1.63|0.54|0.07|0.20||0|0|Matches
360|Lys Mousset|fr FRA|"FW,MF"|Bournemouth|20|1996|3.0|0|10|3|30.0|3.33|1.00|0.00|0.00||0|0|Matches
361|Marc Muniesa|es ESP|"DF,MF"|Stoke City|24|1992|7.2|1|6|3|50.0|0.83|0.42|0.17|0.33||0|0|Matches
362|Ahmed Musa|ng NGA|"FW,MF"|Leicester City|23|1992|8.5|2|17|6|35.3|2.01|0.71|0.12|0.33||0|0|Matches
363|Shkodran Mustafi|de GER|DF|Arsenal|24|1992|25.3|2|24|6|25.0|0.95|0.24|0.08|0.33||0|0|Matches
364|Jordon Mutch|eng ENG|MF|Crystal Palace|24|1991|0.6|0|0|0||0.00|0.00||||0|0|Matches
365|Alfred N'Diaye|sn SEN|"DF,MF"|Hull City|26|1990|14.1|1|10|3|30.0|0.71|0.21|0.10|0.33||0|0|Matches
366|Georges-Kévin N'Koudou|cm CMR|"FW,MF"|Tottenham|21|1995|0.6|0|2|1|50.0|3.33|1.67|0.00|0.00||0|0|Matches
367|Luciano Narsingh|nl NED|"FW,MF"|Swansea City|25|1990|4.6|0|2|0|0.0|0.43|0.00|0.00|||0|0|Matches
368|Samir Nasri|fr FRA|"FW,MF"|Manchester City|29|1987|0.2|0|3|1|33.3|16.88|5.63|0.00|0.00||0|0|Matches
369|Kyle Naughton|eng ENG|DF|Swansea City|27|1988|30.2|1|20|5|25.0|0.66|0.17|0.05|0.20||0|0|Matches
370|Jesús Navas|es ESP|"DF,FW"|Manchester City|30|1985|11.8|0|8|2|25.0|0.68|0.17|0.00|0.00||0|0|Matches
371|Wilfred Ndidi|ng NGA|"DF,MF"|Leicester City|19|1996|16.9|2|32|7|21.9|1.89|0.41|0.06|0.29||0|0|Matches
372|Álvaro Negredo|es ESP|FW|Middlesbrough|30|1985|31.9|9|69|23|33.3|2.16|0.72|0.10|0.30||2|2|Matches
373|Julien Ngoy|be BEL|"FW,MF"|Stoke City|18|1997|0.5|0|2|0|0.0|3.67|0.00|0.00|||0|0|Matches
374|M'Baye Niang|sn SEN|"FW,MF"|Watford|21|1994|13.8|2|32|13|40.6|2.31|0.94|0.06|0.15||0|0|Matches
375|Oumar Niasse|sn SEN|"FW,MF"|Hull City|26|1990|12.2|4|25|8|32.0|2.05|0.66|0.16|0.50||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
376|Mark Noble|eng ENG|MF|West Ham|29|1987|26.5|3|25|7|28.0|0.94|0.26|0.08|0.29||1|2|Matches
377|Nolito|es ESP|"FW,MF"|Manchester City|29|1986|8.6|4|32|11|34.4|3.70|1.27|0.13|0.36||0|0|Matches
378|Kristoffer Nordfeldt|se SWE|GK|Swansea City|27|1989|1.0|0|0|0||0.00|0.00||||0|0|Matches
379|Håvard Nordtveit|no NOR|"DF,MF"|West Ham|26|1990|10.6|0|7|1|14.3|0.66|0.09|0.00|0.00||0|0|Matches
380|Emilio Nsue|gq EQG|"DF,FW"|Middlesbrough|26|1989|3.6|0|2|0|0.0|0.56|0.00|0.00|||0|0|Matches
381|David Nugent|eng ENG|FW|Middlesbrough|31|1985|0.5|0|0|0||0.00|0.00||||0|0|Matches
382|Allan Nyom|cm CMR|"DF,MF"|West Brom|28|1988|29.3|0|6|1|16.7|0.20|0.03|0.00|0.00||0|0|Matches
383|Aiden O'Neill|au AUS|MF|Burnley|18|1998|0.9|0|1|0|0.0|1.06|0.00|0.00|||0|0|Matches
384|John O'Shea|ie IRL|"DF,MF"|Sunderland|35|1981|24.0|0|3|2|66.7|0.13|0.08|0.00|0.00||0|0|Matches
385|Pedro Obiang|gq EQG|MF|West Ham|24|1992|19.6|1|9|2|22.2|0.46|0.10|0.11|0.50||0|0|Matches
386|Angelo Ogbonna|it ITA|DF|West Ham|28|1988|19.5|0|3|1|33.3|0.15|0.05|0.00|0.00||0|0|Matches
387|Stefano Okaka|it ITA|FW|Watford|26|1989|10.6|4|27|12|44.4|2.54|1.13|0.15|0.33||0|0|Matches
388|Shinji Okazaki|jp JPN|"FW,MF"|Leicester City|30|1986|17.4|3|29|9|31.0|1.67|0.52|0.10|0.33||0|0|Matches
389|Jonas Olsson|se SWE|DF|West Brom|33|1983|6.6|0|3|0|0.0|0.46|0.00|0.00|||0|0|Matches
390|Martin Olsson|se SWE|"DF,MF"|Swansea City|28|1988|13.9|2|8|4|50.0|0.58|0.29|0.25|0.50||0|0|Matches
391|Josh Onomah|eng ENG|"FW,MF"|Tottenham|19|1997|0.2|0|1|0|0.0|4.09|0.00|0.00|||0|0|Matches
392|Divock Origi|be BEL|"FW,MF"|Liverpool|21|1995|16.3|7|37|15|40.5|2.27|0.92|0.19|0.47||0|0|Matches
393|Oscar|br BRA|"FW,MF"|Chelsea|24|1991|5.1|0|12|2|16.7|2.37|0.40|0.00|0.00||0|0|Matches
394|David Ospina|co COL|GK|Arsenal|27|1988|1.6|0|0|0||0.00|0.00||||0|0|Matches
395|Nicolás Otamendi|ar ARG|DF|Manchester City|28|1988|28.8|1|15|3|20.0|0.52|0.10|0.07|0.33||0|0|Matches
396|Bryan Oviedo|cr CRC|"DF,MF"|Sunderland|26|1990|9.4|0|4|1|25.0|0.42|0.11|0.00|0.00||0|0|Matches
397|Bryan Oviedo|cr CRC|"DF,MF"|Everton|26|1990|5.3|0|0|0||0.00|0.00||||0|0|Matches
398|Alex Oxlade-Chamberlain|eng ENG|"FW,MF"|Arsenal|22|1993|17.4|2|28|8|28.6|1.61|0.46|0.07|0.25||0|0|Matches
399|Mesut Özil|de GER|MF|Arsenal|27|1988|31.6|8|40|18|45.0|1.27|0.57|0.20|0.44||0|0|Matches
400|Costel Pantilimon|ro ROU|GK|Watford|29|1987|0.9|0|0|0||0.00|0.00||||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
401|Gabriel Paulista|br BRA|DF|Arsenal|25|1990|16.9|0|9|2|22.2|0.53|0.12|0.00|0.00||0|0|Matches
402|Dimitri Payet|fr FRA|"FW,MF"|West Ham|29|1987|16.8|2|55|15|27.3|3.28|0.89|0.04|0.13||0|0|Matches
403|Pedro|es ESP|"FW,MF"|Chelsea|29|1987|23.8|9|59|18|30.5|2.48|0.76|0.15|0.50||0|0|Matches
404|Matthew Pennington|eng ENG|DF|Everton|21|1994|2.0|1|1|1|100.0|0.50|0.50|1.00|1.00||0|0|Matches
405|Dion Pereira|ag ATG|MF|Watford|17|1999|0.3|0|0|0||0.00|0.00||||0|0|Matches
406|Roberto Pereyra|ar ARG|"DF,FW"|Watford|25|1991|11.5|2|9|4|44.4|0.78|0.35|0.22|0.50||0|0|Matches
407|Lucas Pérez|es ESP|"FW,MF"|Arsenal|27|1988|3.0|1|9|4|44.4|2.98|1.32|0.11|0.25||0|0|Matches
408|Matt Phillips|sct SCO|"DF,FW"|West Brom|25|1991|24.2|4|47|10|21.3|1.94|0.41|0.09|0.40||0|0|Matches
409|Jordan Pickford|eng ENG|GK|Sunderland|22|1994|29.0|0|0|0||0.00|0.00||||0|0|Matches
410|Jérémy Pied|fr FRA|"DF,FW"|Southampton|27|1989|1.4|0|3|0|0.0|2.09|0.00|0.00|||0|0|Matches
411|Steven Pienaar|za RSA|MF|Sunderland|34|1982|8.9|0|4|2|50.0|0.45|0.22|0.00|0.00||0|0|Matches
412|Erik Pieters|nl NED|"DF,MF"|Stoke City|27|1988|35.0|0|9|0|0.0|0.26|0.00|0.00|||0|0|Matches
413|Paul Pogba|fr FRA|MF|Manchester Utd|23|1993|29.0|5|91|32|35.2|3.14|1.10|0.05|0.16||0|0|Matches
414|Sebastian Prödl|at AUT|"DF,MF"|Watford|29|1987|30.8|1|21|7|33.3|0.68|0.23|0.05|0.14||0|0|Matches
415|Marc Pugh|eng ENG|"FW,MF"|Bournemouth|29|1987|14.8|2|18|6|33.3|1.22|0.41|0.11|0.33||0|0|Matches
416|Jason Puncheon|eng ENG|MF|Crystal Palace|30|1986|34.3|0|45|10|22.2|1.31|0.29|0.00|0.00||0|0|Matches
417|Gastón Ramírez|uy URU|"FW,MF"|Middlesbrough|25|1990|17.1|2|32|9|28.1|1.87|0.53|0.06|0.22||0|0|Matches
418|Aaron Ramsey|wls WAL|MF|Arsenal|25|1990|13.7|1|42|12|28.6|3.06|0.87|0.02|0.08||0|0|Matches
419|Darren Randolph|ie IRL|GK|West Ham|29|1987|22.0|0|0|0||0.00|0.00||||0|0|Matches
420|Àngel Rangel|es ESP|DF|Swansea City|33|1982|9.2|1|5|3|60.0|0.54|0.32|0.20|0.33||0|0|Matches
421|Andrea Ranocchia|it ITA|DF|Hull City|28|1988|14.8|2|8|4|50.0|0.54|0.27|0.25|0.50||0|0|Matches
422|Marcus Rashford|eng ENG|"FW,MF"|Manchester Utd|18|1997|19.0|5|44|17|38.6|2.32|0.89|0.11|0.29||0|0|Matches
423|Nathan Redmond|eng ENG|"FW,MF"|Southampton|22|1994|32.2|7|83|28|33.7|2.58|0.87|0.08|0.25||0|0|Matches
424|Harrison Reed|eng ENG|MF|Southampton|21|1995|0.7|0|0|0||0.00|0.00||||0|0|Matches
425|Winston Reid|nz NZL|DF|West Ham|28|1988|28.7|2|11|2|18.2|0.38|0.07|0.18|1.00||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
426|Loïc Rémy|fr FRA|FW|Crystal Palace|29|1987|1.5|0|6|3|50.0|4.03|2.01|0.00|0.00||0|0|Matches
427|Jordan Rhodes|sct SCO|FW|Middlesbrough|26|1990|2.3|0|6|4|66.7|2.56|1.71|0.00|0.00||0|0|Matches
428|Declan Rice|eng ENG|"DF,MF"|West Ham|17|1999|0.0|0|0|0||0.00|0.00||||0|0|Matches
429|Andrew Robertson|sct SCO|"DF,MF"|Hull City|22|1994|30.4|1|7|1|14.3|0.23|0.03|0.14|1.00||0|0|Matches
430|Paul Robinson|eng ENG|GK|Burnley|36|1979|3.0|0|0|0||0.00|0.00||||0|0|Matches
431|Joel Robles|es ESP|GK|Everton|26|1990|19.3|0|0|0||0.00|0.00||||0|0|Matches
432|Hal Robson-Kanu|wls WAL|"FW,MF"|West Brom|27|1989|7.8|3|16|6|37.5|2.05|0.77|0.19|0.50||0|0|Matches
433|Jay Rodriguez|eng ENG|"FW,MF"|Southampton|27|1989|9.9|5|33|16|48.5|3.33|1.61|0.15|0.31||0|0|Matches
434|Jack Rodwell|eng ENG|"DF,MF"|Sunderland|25|1991|16.6|0|19|5|26.3|1.15|0.30|0.00|0.00||0|0|Matches
435|Marcos Rojo|ar ARG|DF|Manchester Utd|26|1990|18.5|1|14|4|28.6|0.76|0.22|0.07|0.25||0|0|Matches
436|Sergio Romero|ar ARG|GK|Manchester Utd|29|1987|2.0|0|0|0||0.00|0.00||||0|0|Matches
437|Oriol Romeu|es ESP|MF|Southampton|24|1991|34.1|1|27|6|22.2|0.79|0.18|0.04|0.17||0|0|Matches
438|Salomón Rondón|ve VEN|FW|West Brom|26|1989|32.1|8|93|26|28.0|2.90|0.81|0.09|0.31||0|0|Matches
439|Marten de Roon|nl NED|"DF,MF"|Middlesbrough|25|1991|30.8|4|29|7|24.1|0.94|0.23|0.14|0.57||0|0|Matches
440|Wayne Rooney|eng ENG|"FW,MF"|Manchester Utd|30|1985|17.1|5|51|18|35.3|2.98|1.05|0.08|0.22||1|1|Matches
441|Danny Rose|eng ENG|"DF,MF"|Tottenham|26|1990|17.0|2|23|5|21.7|1.35|0.29|0.09|0.40||0|0|Matches
442|Wayne Routledge|eng ENG|"FW,MF"|Swansea City|31|1985|21.4|3|19|9|47.4|0.89|0.42|0.16|0.33||0|0|Matches
443|Bacary Sagna|fr FRA|DF|Manchester City|33|1983|15.0|0|4|0|0.0|0.27|0.00|0.00|||0|0|Matches
444|Diafra Sakho|sn SEN|FW|West Ham|26|1989|2.0|1|3|1|33.3|1.49|0.50|0.33|1.00||0|0|Matches
445|Mamadou Sakho|fr FRA|DF|Crystal Palace|26|1990|7.6|0|2|0|0.0|0.26|0.00|0.00|||0|0|Matches
446|Bakary Sako|ml MLI|"FW,MF"|Crystal Palace|28|1988|1.6|0|4|1|25.0|2.54|0.63|0.00|0.00||0|0|Matches
447|Alexis Sánchez|cl CHI|"FW,MF"|Arsenal|27|1988|35.7|24|129|49|38.0|3.61|1.37|0.17|0.45||2|3|Matches
448|Leroy Sané|de GER|"FW,MF"|Manchester City|20|1996|19.8|5|33|14|42.4|1.67|0.71|0.15|0.36||0|0|Matches
449|Jeffrey Schlupp|gh GHA|"DF,FW"|Crystal Palace|23|1992|11.1|0|3|0|0.0|0.27|0.00|0.00|||0|0|Matches
450|Jeffrey Schlupp|gh GHA|"DF,FW"|Leicester City|23|1992|1.6|0|0|0||0.00|0.00||||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
451|Kasper Schmeichel|dk DEN|GK|Leicester City|29|1986|29.6|0|0|0||0.00|0.00||||0|0|Matches
452|Morgan Schneiderlin|fr FRA|MF|Manchester Utd|26|1989|0.2|0|0|0||0.00|0.00||||0|0|Matches
453|Morgan Schneiderlin|fr FRA|MF|Everton|26|1989|11.8|1|7|3|42.9|0.59|0.25|0.14|0.33||0|0|Matches
454|Xherdan Shaqiri|ch SUI|"FW,MF"|Stoke City|24|1991|18.9|4|48|10|20.8|2.54|0.53|0.08|0.40||0|0|Matches
455|Luke Shaw|eng ENG|"DF,MF"|Manchester Utd|21|1995|7.6|0|6|1|16.7|0.78|0.13|0.00|0.00||0|0|Matches
456|Ryan Shawcross|eng ENG|DF|Stoke City|28|1987|35.0|1|21|6|28.6|0.60|0.17|0.05|0.17||0|0|Matches
457|Gylfi Sigurðsson|is ISL|"FW,MF"|Swansea City|26|1989|37.0|9|116|50|43.1|3.14|1.35|0.05|0.12||3|3|Matches
458|David Silva|es ESP|"FW,MF"|Manchester City|30|1986|30.7|4|48|17|35.4|1.57|0.55|0.08|0.24||0|0|Matches
459|Danny Simpson|eng ENG|DF|Leicester City|29|1987|33.2|0|2|0|0.0|0.06|0.00|0.00|||0|0|Matches
460|Josh Sims|eng ENG|MF|Southampton|19|1997|2.3|0|5|3|60.0|2.13|1.28|0.00|0.00||0|0|Matches
461|Jerome Sinclair|eng ENG|FW|Watford|19|1996|1.3|0|1|0|0.0|0.78|0.00|0.00|||0|0|Matches
462|Moussa Sissoko|fr FRA|"FW,MF"|Tottenham|26|1989|10.1|0|17|3|17.6|1.68|0.30|0.00|0.00||0|0|Matches
463|Islam Slimani|dz ALG|FW|Leicester City|28|1988|14.2|7|35|13|37.1|2.46|0.91|0.17|0.46||1|1|Matches
464|Chris Smalling|eng ENG|DF|Manchester Utd|26|1989|13.5|1|7|1|14.3|0.52|0.07|0.14|1.00||0|0|Matches
465|Adam Smith|eng ENG|"DF,MF"|Bournemouth|25|1991|34.5|1|26|6|23.1|0.75|0.17|0.04|0.17||0|0|Matches
466|Brad Smith|au AUS|"DF,MF"|Bournemouth|22|1994|3.2|0|3|1|33.3|0.93|0.31|0.00|0.00||0|0|Matches
467|Robert Snodgrass|sct SCO|"FW,MF"|West Ham|28|1987|9.3|0|11|2|18.2|1.18|0.21|0.00|0.00||0|0|Matches
468|Robert Snodgrass|sct SCO|"FW,MF"|Hull City|28|1987|19.0|7|39|17|43.6|2.05|0.89|0.13|0.29||2|2|Matches
469|Cédric Soares|pt POR|"DF,MF"|Southampton|24|1991|27.9|0|20|6|30.0|0.72|0.21|0.00|0.00||0|0|Matches
470|Ramadan Sobhi|eg EGY|MF|Stoke City|19|1997|9.5|0|4|1|25.0|0.42|0.11|0.00|0.00||0|0|Matches
471|Pape Souaré|sn SEN|DF|Crystal Palace|26|1990|3.0|0|2|0|0.0|0.67|0.00|0.00|||0|0|Matches
472|Junior Stanislas|eng ENG|"FW,MF"|Bournemouth|26|1989|16.3|7|42|18|42.9|2.58|1.10|0.12|0.28||2|2|Matches
473|Maarten Stekelenburg|nl NED|GK|Everton|33|1982|18.7|0|0|0||0.00|0.00||||0|0|Matches
474|Jack Stephens|eng ENG|DF|Southampton|22|1994|16.3|0|4|0|0.0|0.24|0.00|0.00|||0|0|Matches
475|Raheem Sterling|eng ENG|"FW,MF"|Manchester City|21|1994|27.9|7|64|24|37.5|2.30|0.86|0.11|0.29||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
476|Kevin Stewart|jm JAM|"DF,MF"|Liverpool|22|1993|0.2|0|0|0||0.00|0.00||||0|0|Matches
477|John Stones|eng ENG|DF|Manchester City|22|1994|22.4|0|13|2|15.4|0.58|0.09|0.00|0.00||0|0|Matches
478|Cristhian Stuani|uy URU|"FW,MF"|Middlesbrough|29|1986|15.0|4|21|10|47.6|1.40|0.66|0.19|0.40||0|0|Matches
479|Daniel Sturridge|eng ENG|"FW,MF"|Liverpool|26|1989|8.6|3|40|20|50.0|4.65|2.32|0.08|0.15||0|0|Matches
480|Isaac Success|ng NGA|"FW,MF"|Watford|20|1996|5.8|1|14|8|57.1|2.43|1.39|0.07|0.13||0|0|Matches
481|Ki Sung-yueng|kr KOR|MF|Swansea City|27|1989|14.3|0|9|1|11.1|0.63|0.07|0.00|0.00||0|0|Matches
482|Andrew Surman|eng ENG|MF|Bournemouth|29|1986|20.0|0|8|2|25.0|0.40|0.10|0.00|0.00||0|0|Matches
483|Dušan Tadić|rs SRB|"FW,MF"|Southampton|27|1988|26.8|3|63|22|34.9|2.35|0.82|0.03|0.09||1|2|Matches
484|Matt Targett|eng ENG|"DF,MF"|Southampton|20|1995|4.1|0|2|0|0.0|0.48|0.00|0.00|||0|0|Matches
485|James Tarkowski|eng ENG|DF|Burnley|23|1992|6.3|0|5|0|0.0|0.79|0.00|0.00|||0|0|Matches
486|Neil Taylor|wls WAL|"DF,MF"|Swansea City|27|1989|10.2|0|4|0|0.0|0.39|0.00|0.00|||0|0|Matches
487|John Terry|eng ENG|DF|Chelsea|35|1980|5.5|1|8|2|25.0|1.45|0.36|0.13|0.50||0|0|Matches
488|James Tomkins|eng ENG|"DF,MF"|Crystal Palace|27|1989|21.9|3|15|4|26.7|0.68|0.18|0.20|0.75||0|0|Matches
489|Gökhan Töre|tr TUR|"FW,MF"|West Ham|24|1992|2.7|0|5|0|0.0|1.87|0.00|0.00|||0|0|Matches
490|Yaya Touré|ci CIV|MF|Manchester City|33|1983|21.6|5|32|15|46.9|1.48|0.70|0.09|0.20||2|2|Matches
491|Andros Townsend|eng ENG|"FW,MF"|Crystal Palace|25|1991|28.0|3|56|13|23.2|2.00|0.46|0.05|0.23||0|0|Matches
492|Adama Traoré|es ESP|"FW,MF"|Middlesbrough|20|1996|17.1|0|11|2|18.2|0.64|0.12|0.00|0.00||0|0|Matches
493|Kieran Trippier|eng ENG|"DF,MF"|Tottenham|25|1990|6.3|0|3|0|0.0|0.48|0.00|0.00|||0|0|Matches
494|Axel Tuanzebe|cd COD|DF|Manchester Utd|18|1997|3.4|0|2|0|0.0|0.59|0.00|0.00|||0|0|Matches
495|Josh Tymon|eng ENG|"DF,MF"|Hull City|17|1999|3.6|0|0|0||0.00|0.00||||0|0|Matches
496|Leonardo Ulloa|ar ARG|FW|Leicester City|30|1986|5.0|1|11|5|45.5|2.21|1.01|0.09|0.20||0|0|Matches
497|Víctor Valdés|es ESP|GK|Middlesbrough|34|1982|28.0|0|0|0||0.00|0.00||||0|0|Matches
498|Antonio Valencia|ec ECU|"DF,MF"|Manchester Utd|30|1985|27.6|1|9|4|44.4|0.33|0.14|0.11|0.25||0|0|Matches
499|Enner Valencia|ec ECU|"FW,MF"|West Ham|26|1989|2.3|0|7|0|0.0|2.99|0.00|0.00|||0|0|Matches
500|Enner Valencia|ec ECU|"FW,MF"|Everton|26|1989|8.0|3|24|9|37.5|3.02|1.13|0.13|0.33||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
501|Virgil van Dijk|nl NED|DF|Southampton|25|1991|20.6|1|17|5|29.4|0.83|0.24|0.06|0.20||0|0|Matches
502|Jamie Vardy|eng ENG|FW|Leicester City|29|1987|31.1|13|54|26|48.1|1.73|0.84|0.24|0.50||0|0|Matches
503|Jan Vertonghen|be BEL|DF|Tottenham|29|1987|32.2|0|14|4|28.6|0.44|0.12|0.00|0.00||0|0|Matches
504|Sam Vokes|wls WAL|FW|Burnley|26|1989|22.9|10|57|23|40.4|2.49|1.00|0.14|0.35||2|2|Matches
505|Michel Vorm|nl NED|GK|Tottenham|32|1983|4.6|0|0|0||0.00|0.00||||0|0|Matches
506|Matěj Vydra|cz CZE|"FW,MF"|Watford|24|1992|0.0|0|0|0||0.00|0.00||||0|0|Matches
507|Theo Walcott|eng ENG|"FW,MF"|Arsenal|27|1989|21.3|10|61|29|47.5|2.87|1.36|0.16|0.34||0|1|Matches
508|Kyle Walker|eng ENG|"DF,MF"|Tottenham|26|1990|30.0|0|19|5|26.3|0.63|0.17|0.00|0.00||0|0|Matches
509|Jonathan Walters|ie IRL|"FW,MF"|Stoke City|32|1983|14.5|4|25|12|48.0|1.73|0.83|0.12|0.25||1|1|Matches
510|Victor Wanyama|ke KEN|MF|Tottenham|25|1991|33.5|4|40|13|32.5|1.20|0.39|0.10|0.31||0|0|Matches
511|Joel Ward|eng ENG|"DF,MF"|Crystal Palace|26|1989|38.0|0|15|3|20.0|0.40|0.08|0.00|0.00||0|0|Matches
512|Stephen Ward|ie IRL|"DF,FW"|Burnley|30|1985|35.9|1|7|1|14.3|0.20|0.03|0.14|1.00||0|0|Matches
513|James Ward-Prowse|eng ENG|MF|Southampton|21|1994|20.9|4|41|18|43.9|1.96|0.86|0.10|0.22||0|0|Matches
