Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
206|Lee Grant|eng ENG|GK|Stoke City|33|1983|28.0|0|0|0||0.00|0.00||||0|0|Matches
207|Andre Gray|jm JAM|FW|Burnley|25|1991|25.1|9|47|19|40.4|1.87|0.76|0.15|0.37||2|2|Matches
208|Demarai Gray|jm JAM|"FW,MF"|Leicester City|20|1996|11.7|1|27|8|29.6|2.32|0.69|0.04|0.13||0|0|Matches
209|Kamil Grosicki|pl POL|"FW,MF"|Hull City|28|1988|12.7|0|29|7|24.1|2.28|0.55|0.00|0.00||0|0|Matches
210|Marko Grujić|rs SRB|MF|Liverpool|20|1996|0.5|0|4|2|50.0|8.37|4.19|0.00|0.00||0|0|Matches
211|Adlène Guedioura|dz ALG|MF|Watford|30|1985|8.0|0|13|3|23.1|1.62|0.37|0.00|0.00||0|0|Matches
212|Adlène Guedioura|dz ALG|MF|Middlesbrough|30|1985|1.6|0|6|1|16.7|3.86|0.64|0.00|0.00||0|0|Matches
213|İlkay Gündoğan|de GER|MF|Manchester City|25|1990|7.8|3|16|4|25.0|2.05|0.51|0.19|0.75||0|0|Matches
214|Brad Guzan|us USA|GK|Middlesbrough|31|1984|10.0|0|0|0||0.00|0.00||||0|0|Matches
215|Josh Harrop|eng ENG|MF|Manchester Utd|20|1995|1.0|1|2|1|50.0|2.00|1.00|0.50|1.00||0|0|Matches
216|Eden Hazard|be BEL|"FW,MF"|Chelsea|25|1991|33.1|16|77|32|41.6|2.32|0.97|0.18|0.44||2|3|Matches
217|Tom Heaton|eng ENG|GK|Burnley|30|1986|35.0|0|0|0||0.00|0.00||||0|0|Matches
218|Jordan Henderson|eng ENG|MF|Liverpool|26|1990|23.5|1|17|4|23.5|0.72|0.17|0.06|0.25||0|0|Matches
219|Jeff Hendrick|ie IRL|"FW,MF"|Burnley|24|1992|29.9|2|31|6|19.4|1.04|0.20|0.06|0.33||0|0|Matches
220|Wayne Hennessey|wls WAL|GK|Crystal Palace|29|1987|29.0|0|0|0||0.00|0.00||||0|0|Matches
221|Markus Henriksen|no NOR|"DF,MF"|Hull City|24|1992|7.1|0|3|0|0.0|0.42|0.00|0.00|||0|0|Matches
222|Abel Hernández|uy URU|FW|Hull City|25|1990|15.8|4|39|18|46.2|2.46|1.14|0.10|0.22||0|0|Matches
223|Luis Hernández|es ESP|DF|Leicester City|27|1989|3.6|0|0|0||0.00|0.00||||0|0|Matches
224|Ander Herrera|es ESP|MF|Manchester Utd|26|1989|27.4|1|38|5|13.2|1.39|0.18|0.03|0.20||0|0|Matches
225|Son Heung-min|kr KOR|"FW,MF"|Tottenham|24|1992|22.9|14|80|33|41.3|3.49|1.44|0.18|0.42||0|0|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
226|Rob Holding|eng ENG|DF|Arsenal|20|1995|9.0|0|6|2|33.3|0.67|0.22|0.00|0.00||0|0|Matches
227|José Holebas|gr GRE|"DF,MF"|Watford|32|1984|32.3|2|28|7|25.0|0.87|0.22|0.07|0.29||0|0|Matches
228|Mason Holgate|eng ENG|DF|Everton|19|1996|15.2|0|6|3|50.0|0.39|0.20|0.00|0.00||0|0|Matches
229|George Honeyman|eng ENG|"FW,MF"|Sunderland|21|1994|2.6|0|2|1|50.0|0.77|0.38|0.00|0.00||0|0|Matches
230|Tom Huddlestone|eng ENG|MF|Hull City|29|1986|22.5|1|21|8|38.1|0.93|0.36|0.00|0.00||1|1|Matches
231|James Husband|eng ENG|DF|Middlesbrough|22|1994|0.6|0|0|0||0.00|0.00||||0|0|Matches
232|Robert Huth|de GER|DF|Leicester City|31|1984|32.5|2|26|8|30.8|0.80|0.25|0.08|0.25||0|0|Matches
233|Pierre Højbjerg|dk DEN|MF|Southampton|20|1995|14.5|0|28|4|14.3|1.94|0.28|0.00|0.00||0|0|Matches
234|Jordon Ibe|eng ENG|"FW,MF"|Bournemouth|20|1995|11.7|0|15|1|6.7|1.28|0.09|0.00|0.00||0|0|Matches
235|Didier Ibrahim Ndong|ga GAB|"DF,MF"|Sunderland|22|1994|28.0|1|16|5|31.3|0.57|0.18|0.06|0.20||0|0|Matches
236|Zlatan Ibrahimović|se SWE|FW|Manchester Utd|34|1981|27.1|17|116|45|38.8|4.28|1.66|0.13|0.33||2|3|Matches
237|Odion Ighalo|ng NGA|FW|Watford|27|1989|14.3|1|37|10|27.0|2.58|0.70|0.03|0.10||0|0|Matches
238|Kelechi Iheanacho|ng NGA|"FW,MF"|Manchester City|19|1996|6.0|4|22|7|31.8|3.69|1.17|0.18|0.57||0|0|Matches
239|Giannelli Imbula|cd COD|MF|Stoke City|23|1992|8.8|0|9|0|0.0|1.02|0.00|0.00|||0|0|Matches
240|Branislav Ivanović|rs SRB|DF|Chelsea|32|1984|6.5|0|8|2|25.0|1.22|0.31|0.00|0.00||0|0|Matches
241|Alex Iwobi|ng NGA|"FW,MF"|Arsenal|20|1996|16.2|3|39|11|28.2|2.41|0.68|0.08|0.27||0|0|Matches
242|Phil Jagielka|eng ENG|"DF,MF"|Everton|33|1982|25.0|3|14|6|42.9|0.56|0.24|0.21|0.50||0|0|Matches
243|Eldin Jakupović|ch SUI|GK|Hull City|31|1984|22.0|0|0|0||0.00|0.00||||0|0|Matches
244|Matty James|eng ENG|MF|Leicester City|25|1991|0.0|0|0|0||0.00|0.00||||0|0|Matches
245|Daryl Janmaat|nl NED|DF|Watford|27|1989|18.0|2|26|8|30.8|1.45|0.45|0.08|0.25||0|0|Matches
246|Vincent Janssen|nl NED|FW|Tottenham|22|1994|9.4|2|30|14|46.7|3.20|1.49|0.03|0.07||1|1|Matches
247|Adnan Januzaj|be BEL|"FW,MF"|Sunderland|21|1995|18.1|0|27|7|25.9|1.49|0.39|0.00|0.00||0|0|Matches
248|Mile Jedinak|au AUS|MF|Crystal Palace|31|1984|1.0|0|0|0||0.00|0.00||||0|0|Matches
249|Carl Jenkinson|eng ENG|DF|Arsenal|24|1992|0.9|0|0|0||0.00|0.00||||0|0|Matches
250|Gabriel Jesus|br BRA|"FW,MF"|Manchester City|19|1997|7.2|7|24|13|54.2|3.32|1.80|0.25|0.46||1|1|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|90s|Gls|Sh|SoT|SoT%|Sh/90|SoT/90|G/Sh|G/SoT|Dist|PK|PKatt|Matches
251|Glen Johnson|eng ENG|DF|Stoke City|31|1984|21.7|0|8|3|37.5|0.37|0.14|0.00|0.00||0|0|Matches
