|Playing Time|Performance|Per 90 Minutes|
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
471|Pape Souaré|sn SEN|DF|Crystal Palace|26|1990|3|3|269|3.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
472|Junior Stanislas|eng ENG|"FW,MF"|Bournemouth|26|1989|21|18|"1,467"|16.3|7|5|12|5|2|2|1|0|0.43|0.31|0.74|0.31|0.61|Matches
473|Maarten Stekelenburg|nl NED|GK|Everton|33|1982|19|19|"1,683"|18.7|0|0|0|0|0|0|2|0|0.00|0.00|0.00|0.00|0.00|Matches
474|Jack Stephens|eng ENG|DF|Southampton|22|1994|17|15|"1,471"|16.3|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
475|Raheem Sterling|eng ENG|"FW,MF"|Manchester City|21|1994|33|29|"2,508"|27.9|7|8|15|7|0|0|7|0|0.25|0.29|0.54|0.25|0.54|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
476|Kevin Stewart|jm JAM|"DF,MF"|Liverpool|22|1993|4|0|20|0.2|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
477|John Stones|eng ENG|DF|Manchester City|22|1994|27|23|"2,014"|22.4|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
478|Cristhian Stuani|uy URU|"FW,MF"|Middlesbrough|29|1986|23|16|"1,354"|15.0|4|0|4|4|0|0|4|0|0.27|0.00|0.27|0.27|0.27|Matches
479|Daniel Sturridge|eng ENG|"FW,MF"|Liverpool|26|1989|20|7|775|8.6|3|1|4|3|0|0|1|0|0.35|0.12|0.46|0.35|0.46|Matches
480|Isaac Success|ng NGA|"FW,MF"|Watford|20|1996|19|2|519|5.8|1|1|2|1|0|0|2|0|0.17|0.17|0.35|0.17|0.35|Matches
481|Ki Sung-yueng|kr KOR|MF|Swansea City|27|1989|23|13|"1,291"|14.3|0|1|1|0|0|0|3|0|0.00|0.07|0.07|0.00|0.07|Matches
482|Andrew Surman|eng ENG|MF|Bournemouth|29|1986|22|21|"1,801"|20.0|0|1|1|0|0|0|3|1|0.00|0.05|0.05|0.00|0.05|Matches
483|Dušan Tadić|rs SRB|"FW,MF"|Southampton|27|1988|33|30|"2,411"|26.8|3|5|8|2|1|2|4|0|0.11|0.19|0.30|0.07|0.26|Matches
484|Matt Targett|eng ENG|"DF,MF"|Southampton|20|1995|5|5|373|4.1|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
485|James Tarkowski|eng ENG|DF|Burnley|23|1992|19|4|568|6.3|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
486|Neil Taylor|wls WAL|"DF,MF"|Swansea City|27|1989|11|11|920|10.2|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
487|John Terry|eng ENG|DF|Chelsea|35|1980|9|6|496|5.5|1|0|1|1|0|0|1|0|0.18|0.00|0.18|0.18|0.18|Matches
488|James Tomkins|eng ENG|"DF,MF"|Crystal Palace|27|1989|24|23|"1,974"|21.9|3|0|3|3|0|0|4|0|0.14|0.00|0.14|0.14|0.14|Matches
489|Gökhan Töre|tr TUR|"FW,MF"|West Ham|24|1992|5|3|240|2.7|0|1|1|0|0|0|0|0|0.00|0.37|0.37|0.00|0.37|Matches
490|Yaya Touré|ci CIV|MF|Manchester City|33|1983|25|22|"1,941"|21.6|5|0|5|3|2|2|4|0|0.23|0.00|0.23|0.14|0.14|Matches
491|Andros Townsend|eng ENG|"FW,MF"|Crystal Palace|25|1991|36|30|"2,519"|28.0|3|4|7|3|0|0|4|0|0.11|0.14|0.25|0.11|0.25|Matches
492|Adama Traoré|es ESP|"FW,MF"|Middlesbrough|20|1996|27|16|"1,541"|17.1|0|1|1|0|0|0|1|0|0.00|0.06|0.06|0.00|0.06|Matches
493|Kieran Trippier|eng ENG|"DF,MF"|Tottenham|25|1990|12|6|568|6.3|0|5|5|0|0|0|1|0|0.00|0.79|0.79|0.00|0.79|Matches
494|Axel Tuanzebe|cd COD|DF|Manchester Utd|18|1997|4|4|303|3.4|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
495|Josh Tymon|eng ENG|"DF,MF"|Hull City|17|1999|5|4|322|3.6|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
496|Leonardo Ulloa|ar ARG|FW|Leicester City|30|1986|16|3|447|5.0|1|0|1|1|0|0|0|0|0.20|0.00|0.20|0.20|0.20|Matches
497|Víctor Valdés|es ESP|GK|Middlesbrough|34|1982|28|28|"2,520"|28.0|0|0|0|0|0|0|1|0|0.00|0.00|0.00|0.00|0.00|Matches
498|Antonio Valencia|ec ECU|"DF,MF"|Manchester Utd|30|1985|28|27|"2,483"|27.6|1|3|4|1|0|0|5|0|0.04|0.11|0.14|0.04|0.14|Matches
499|Enner Valencia|ec ECU|"FW,MF"|West Ham|26|1989|3|3|211|2.3|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
500|Enner Valencia|ec ECU|"FW,MF"|Everton|26|1989|21|5|716|8.0|3|1|4|3|0|0|1|0|0.38|0.13|0.50|0.38|0.50|Matches
Rk|Player|Nation|Pos|Squad|Age|Born|MP|Starts|Min|90s|Gls|Ast|G+A|G-PK|PK|PKatt|CrdY|CrdR|Gls|Ast|G+A|G-PK|G+A-PK|Matches
501|Virgil van Dijk|nl NED|DF|Southampton|25|1991|21|21|"1,853"|20.6|1|0|1|1|0|0|5|2|0.05|0.00|0.05|0.05|0.05|Matches
502|Jamie Vardy|eng ENG|FW|Leicester City|29|1987|35|33|"2,802"|31.1|13|4|17|13|0|0|2|1|0.42|0.13|0.55|0.42|0.55|Matches
503|Jan Vertonghen|be BEL|DF|Tottenham|29|1987|33|33|"2,894"|32.2|0|0|0|0|0|0|5|0|0.00|0.00|0.00|0.00|0.00|Matches
504|Sam Vokes|wls WAL|FW|Burnley|26|1989|37|21|"2,064"|22.9|10|3|13|8|2|2|0|0|0.44|0.13|0.57|0.35|0.48|Matches
505|Michel Vorm|nl NED|GK|Tottenham|32|1983|5|4|416|4.6|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
506|Matěj Vydra|cz CZE|"FW,MF"|Watford|24|1992|1|0|3|0.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
507|Theo Walcott|eng ENG|"FW,MF"|Arsenal|27|1989|28|23|"1,916"|21.3|10|2|12|10|0|1|1|0|0.47|0.09|0.56|0.47|0.56|Matches
508|Kyle Walker|eng ENG|"DF,MF"|Tottenham|26|1990|33|31|"2,701"|30.0|0|5|5|0|0|0|8|0|0.00|0.17|0.17|0.00|0.17|Matches
509|Jonathan Walters|ie IRL|"FW,MF"|Stoke City|32|1983|23|13|"1,304"|14.5|4|2|6|3|1|1|1|0|0.28|0.14|0.41|0.21|0.35|Matches
510|Victor Wanyama|ke KEN|MF|Tottenham|25|1991|36|35|"3,012"|33.5|4|1|5|4|0|0|10|0|0.12|0.03|0.15|0.12|0.15|Matches
511|Joel Ward|eng ENG|"DF,MF"|Crystal Palace|26|1989|38|38|"3,417"|38.0|0|1|1|0|0|0|7|0|0.00|0.03|0.03|0.00|0.03|Matches
512|Stephen Ward|ie IRL|"DF,FW"|Burnley|30|1985|37|37|"3,230"|35.9|1|1|2|1|0|0|5|0|0.03|0.03|0.06|0.03|0.06|Matches
513|James Ward-Prowse|eng ENG|MF|Southampton|21|1994|30|22|"1,883"|20.9|4|4|8|4|0|0|4|0|0.19|0.19|0.38|0.19|0.38|Matches
514|Marcin Wasilewski|pl POL|DF|Leicester City|36|1980|1|1|90|1.0|0|0|0|0|0|0|0|0|0.00|0.00|0.00|0.00|0.00|Matches
515|Duncan Watmore|eng ENG|"FW,MF"|Sunderland|22|1994|14|11|"1,024"|11.4|0|2|2|0|0|0|1|0|0.00|0.18|0.18|0.00|0.18|Matches
516|Ben Watson|eng ENG|MF|Watford|31|1985|4|0|54|0.6|0|0|0|0|0|0|0|1|0.00|0.00|0.00|0.00|0.00|Matches
517|Danny Welbeck|eng ENG|"FW,MF"|Arsenal|25|1990|16|8|748|8.3|2|2|4|2|0|0|0|0|0.24|0.24|0.48|0.24|0.48|Matches
518|Ashley Westwood|eng ENG|MF|Burnley|26|1990|9|6|551|6.1|0|0|0|0|0|0|3|0|0.00|0.00|0.00|0.00|0.00|Matches
